,precision,recall,f1-score,support
BENIGN,0.9741921073265843,0.9992530046872166,0.9865634310906064,419012.0
Bot,0.0,0.0,0.0,1948.0
DDoS,0.9980490850208747,0.9990626098504082,0.99855559025609,25603.0
DoS GoldenEye,0.5466702326825355,0.9936801166747691,0.7053140096618358,2057.0
DoS Hulk,0.9930886903212747,0.9934334230090544,0.9932610267534345,34569.0
DoS Slowhttptest,0.0,0.0,0.0,5228.0
DoS slowloris,0.0,0.0,0.0,5385.0
FTP-Patator,0.9966216216216216,0.9949409780775716,0.9957805907172996,1186.0
Heartbleed,0.0,0.0,0.0,11.0
Infiltration,0.0,0.0,0.0,36.0
PortScan,0.9886959370904325,0.9981255857544518,0.9933883844064635,18139.0
SSH-Patator,0.9952229299363057,0.9704968944099379,0.9827044025157232,644.0
Web Attack � Brute Force,0.6875,0.8979591836734694,0.7787610619469026,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,21.0
Web Attack � XSS,0.6,0.06923076923076923,0.12413793103448276,130.0
accuracy,0.9739121811213328,0.9739121811213328,0.9739121811213328,0.9739121811213328
macro avg,0.5186693735999752,0.5277455043578433,0.5038977618921893,514263.0
weighted avg,0.9513474914902801,0.9739121811213328,0.9621785536213655,514263.0
