,precision,recall,f1-score,support
BENIGN,0.9745558328367103,0.9991074241310511,0.9866789224351269,419012.0
Bot,0.0,0.0,0.0,1948.0
DDoS,0.998945518453427,0.9990235519275085,0.9989845336666145,25603.0
DoS GoldenEye,0.4961183891314896,0.9941662615459407,0.6619194044343745,2057.0
DoS Hulk,0.998747633610019,0.9919870404119298,0.9953558574248229,34569.0
DoS Slowhttptest,0.0,0.0,0.0,5228.0
DoS slowloris,0.0,0.0,0.0,5385.0
FTP-Patator,0.9983150800336984,0.9991568296795953,0.9987357774968394,1186.0
Heartbleed,0.0,0.0,0.0,11.0
Infiltration,0.0,0.0,0.0,36.0
PortScan,0.9840338872596938,0.9989525332157231,0.9914370913468115,18139.0
SSH-Patator,1.0,0.9829192546583851,0.9913860610806577,644.0
Web Attack � Brute Force,0.6875,0.8605442176870748,0.7643504531722054,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,21.0
Web Attack � XSS,0.4838709677419355,0.11538461538461539,0.18633540372670807,130.0
accuracy,0.9737410624524805,0.9737410624524805,0.9737410624524805,0.9737410624524805
macro avg,0.5081391539377982,0.5294161152427882,0.5050122336522774,514263.0
weighted avg,0.9516827650481893,0.9737410624524805,0.9622175964520061,514263.0
