,precision,recall,f1-score,support
BENIGN,0.9690593887393502,0.99839861388218,0.9835102443841027,419012.0
Bot,0.0,0.0,0.0,1948.0
DDoS,0.9957937373422652,0.9986329726985119,0.9972113340743775,25603.0
DoS GoldenEye,0.5691080921441228,0.9368011667476908,0.7080654051074775,2057.0
DoS Hulk,0.998786959818044,0.9527322167259683,0.9752161553950017,34569.0
DoS Slowhttptest,0.0,0.0,0.0,5228.0
DoS slowloris,0.0,0.0,0.0,5385.0
FTP-Patator,0.9964539007092199,0.9477234401349073,0.9714779602420052,1186.0
Heartbleed,0.0,0.0,0.0,11.0
Infiltration,0.0,0.0,0.0,36.0
PortScan,0.9715662911611785,0.988974033849716,0.9801928803649974,18139.0
SSH-Patator,0.9982425307557118,0.8819875776397516,0.9365210222588624,644.0
Web Attack � Brute Force,0.6779141104294478,0.7517006802721088,0.7129032258064516,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,21.0
Web Attack � XSS,0.43902439024390244,0.13846153846153847,0.21052631578947367,130.0
accuracy,0.9696225472180577,0.9696225472180577,0.9696225472180577,0.9696225472180577
macro avg,0.5077299600895496,0.5063608160274915,0.4983749695615166,514263.0
weighted avg,0.9468789798249836,0.9696225472180577,0.9578268456915936,514263.0
